公司名称,流动比率,资产负债率,应收账款周转率,总资产周转率,净资产收益率,资产报酬率,净利润增长率,总资产增长率
西安民生,0.984564,0.496974,,0.873703,0.087975,0.01341,7.686567,0.085001
渝三峡A,0.65231,0.654727,7.449779,0.301655,0.054867,0.024178,-0.639327,0.276477
海南海药,1.367291,0.442172,3.445246,0.526369,0.115307,0.08172,-0.572988,0.154735
海德股份,1.817959,0.408179,118.907801,0.249229,0.183488,0.117568,31.373882,-0.069606
泸州老窖,1.583876,0.3142,134.542585,0.745795,0.362755,0.249211,-0.472095,0.133842
长城股份,0.69714,0.894282,61.562133,1.831977,-1.907468,-0.180562,36.848911,-0.092895
苏常柴A,1.534999,0.391279,9.3448,1.005533,-0.073916,-0.055712,2.476622,-0.178614
新大洲A,1.0881,0.385582,14.417313,0.296569,0.057348,0.041524,-0.135535,0.179829
海马汽车,2.280332,0.378013,369.296121,0.972181,0.000652,0.005266,-1.017688,-0.23861
粤宏远A,1.454314,0.441169,15.917495,0.137463,-0.084695,-0.037446,5.056039,0.089444
广东甘化,0.483022,0.597331,20.557802,0.671502,-0.147495,-0.025462,0.216788,-0.033471
盐湖集团,1.9629,0.45742,40.317734,0.289408,0.306718,0.173991,-0.657266,21.075523
威孚高科,1.10246,0.406925,6.480813,0.659712,0.07584,0.0606,0.007302,-0.108778
北部湾港,0.462977,0.617687,6.745179,0.310577,0.075289,0.054405,-0.21162,0.000726
友利控股,1.065756,0.374891,43.698554,0.408512,0.040005,0.040315,3.258743,0.263525
东北电器,1.087002,0.629292,2.981212,0.611225,-0.224747,-0.080911,17.447532,-0.189441
汇源通信,1.024407,0.76967,2.704247,0.809321,-1.03314,-0.212131,5.657336,-0.251132
金叶珠宝,0.295684,1.77271,1.749473,0.32578,0.662204,-0.408831,4.074091,-0.257887
黔轮胎A,0.895317,0.69736,7.998034,1.088608,0.040152,0.043117,-2.023139,0.140942
*ST 古汉,1.110583,0.43502,2.122255,0.414091,0.063122,0.059519,-1.137974,0.041425
太阳能,0.936321,0.787047,15.715694,1.766256,0.050586,0.021524,-1.328769,0.040111
平潭发展,2.282853,0.438407,7.404492,0.294589,0.152062,0.09347,-0.574409,4.450935
大通燃气,0.420705,0.651313,144.669986,0.477033,0.014825,0.040696,-3.058037,0.027039
国恒退,1.679705,0.118653,84.239561,0.079364,0.026184,0.026966,-0.95014,-0.042981
宝塔实业,1.610115,0.474603,1.483639,0.498028,0.046694,0.048839,-12.215117,-0.00195
古井贡酒,1.521289,0.418873,36.275782,0.907453,0.039041,0.025829,1.18679,0.097657
东北制药,1.04523,0.616339,9.062261,1.123242,0.227328,0.119676,-0.25205,0.345006
兴蓉环境,0.667015,0.630833,15.584869,1.150474,-0.017264,0.019453,-8.127188,0.183513
青岛双星,0.694453,0.703063,10.833355,1.096664,-0.278384,-0.063919,-65.281955,0.074866
建投能源,0.403637,0.603695,9.709399,0.42812,0.019004,0.039192,-1.425979,-0.011188
韶能股份,0.890477,0.617894,8.438378,0.272593,-0.039758,0.012151,-29.252334,0.016185
